VUOSI;VIIKKO;ATC_KOODIr;VAR_N_OSTOT;ATC Code;SHORTAGE
2024;5;R;567645;R;2.0
2024;5;S;148568;S;2.0
2024;5;V;2877;V;0.0
2024;6;A;1066481;A;3.0
2024;6;B;325769;B;0.0
2024;6;C;2479592;C;11.0
2024;6;D;118110;D;3.0
2024;6;G;401316;G;6.0
2024;6;H;289464;H;1.0
2024;6;J;272012;J;7.0
2024;6;L;121812;L;8.0
2024;6;M;415175;M;3.0
2024;6;N;2064678;N;20.0
2024;6;P;23289;P;1.0
2024;6;R;558609;R;4.0
2024;6;S;148724;S;2.0
2024;6;V;2754;V;0.0
2024;7;A;1113364;A;3.0
2024;7;B;331022;B;0.0
2024;7;C;2520869;C;13.0
2024;7;D;122286;D;3.0
2024;7;G;401146;G;7.0
2024;7;H;298392;H;1.0
2024;7;J;273092;J;8.0
2024;7;L;123435;L;8.0
2024;7;M;415984;M;3.0
2024;7;N;2112672;N;24.0
2024;7;P;23163;P;1.0
2024;7;R;570071;R;5.0
2024;7;S;144572;S;2.0
2024;7;V;2953;V;0.0
2024;8;A;1059996;A;5.0
2024;8;B;330913;B;1.0
2024;8;C;2511305;C;13.0
2024;8;D;119422;D;3.0
2024;8;G;402082;G;7.0
2024;8;H;294270;H;3.0
2024;8;J;269749;J;8.0
2024;8;L;125688;L;11.0
2024;8;M;421846;M;5.0
2024;8;N;2099778;N;26.0
2024;8;P;22897;P;1.0
2024;8;R;595331;R;6.0
2024;8;S;145310;S;2.0
2024;8;V;2855;V;0.0
2024;9;A;1099387;A;5.0
2024;9;B;344714;B;2.0
2024;9;C;2564583;C;14.0
2024;9;D;125614;D;3.0
2024;9;G;410536;G;9.0
2024;9;H;299092;H;4.0
2024;9;J;265395;J;9.0
2024;9;L;131204;L;11.0
2024;9;M;427237;M;5.0
2024;9;N;2121063;N;30.0
2024;9;P;23273;P;1.0
2024;9;R;628390;R;7.0
2024;9;S;152898;S;2.0
2024;9;V;2826;V;0.0
2024;10;A;1113067;A;5.0
2024;10;B;358950;B;3.0
2024;10;C;2621767;C;16.0
2024;10;D;127055;D;5.0
2024;10;G;427966;G;9.0
