VUOSI;VIIKKO;VAR_N_OSTOT;ATC_KOODI;SHORTAGE
2024;8;474;V;0
2024;9;157177;A;5
2024;9;49319;B;2
2024;9;366434;C;14
2024;9;18026;D;3
2024;9;58680;G;9
2024;9;42779;H;4
2024;9;38067;J;9
2024;9;18835;L;11
2024;9;61080;M;5
2024;9;303081;N;30
2024;9;3329;P;1
2024;9;89826;R;7
2024;9;21844;S;2
2024;9;467;V;0
2024;10;159136;A;5
2024;10;51349;B;3
2024;10;374599;C;16
2024;10;18228;D;5
2024;10;61171;G;9
2024;10;42543;H;4
2024;10;37598;J;9
2024;10;19897;L;12
2024;10;60703;M;5
2024;10;304182;N;35
2024;10;3318;P;1
2024;10;95567;R;7
2024;10;21743;S;2
2024;10;528;V;0
2024;11;168920;A;5
2024;11;52279;B;3
2024;11;374534;C;18
2024;11;18249;D;8
2024;11;62170;G;9
2024;11;43309;H;4
2024;11;37464;J;9
2024;11;20163;L;12
2024;11;61125;M;5
2024;11;309267;N;36
2024;11;3334;P;1
2024;11;98053;R;7
2024;11;21930;S;3
2024;11;555;V;0
2024;12;163440;A;6
2024;12;51961;B;3
2024;12;369837;C;20
2024;12;17856;D;8
2024;12;61808;G;10
2024;12;42754;H;4
2024;12;37421;J;11
2024;12;19817;L;12
2024;12;60551;M;6
2024;12;306869;N;44
2024;12;3363;P;1
2024;12;94886;R;8
2024;12;21861;S;3
2024;12;526;V;0
2024;13;147601;A;9
2024;13;48250;B;3
2024;13;338256;C;22
2024;13;16299;D;8
2024;13;55242;G;11
2024;13;39923;H;6
2024;13;34658;J;11
2024;13;18620;L;14
2024;13;55032;M;6
2024;13;285197;N;50
2024;13;3072;P;1
2024;13;94250;R;10
2024;13;20125;S;4
2024;13;531;V;0
2024;14;154153;A;16
2024;14;50176;B;6
2024;14;352366;C;33
2024;14;16687;D;10
2024;14;60399;G;15
2024;14;39635;H;6
2024;14;33234;J;12
2024;14;19914;L;20
2024;14;56611;M;9
2024;14;278436;N;66
2024;14;3182;P;1
2024;14;104381;R;12
2024;14;21176;S;4
2024;14;513;V;0
2024;15;164465;A;19
2024;15;51840;B;8
2024;15;371948;C;40
2024;15;17633;D;10
2024;15;61792;G;16
2024;15;43106;H;6
2024;15;35590;J;13
2024;15;19822;L;24
2024;15;60557;M;11
2024;15;305530;N;72
2024;15;3290;P;1
2024;15;112416;R;12
2024;15;22439;S;4
2024;15;548;V;1
2024;1;33613;A02;0
2024;1;703;A03;0
2024;1;778;A04;0
2024;1;345;A05;0
2024;1;3986;A06;0
2024;1;3873;A07;0
2024;1;94;A08;0
2024;1;934;A09;0
2024;1;45431;A10;0
2024;1;323;A11;0
2024;1;13062;A12;0
2024;1;27;A16;0
2024;1;32427;B01;0
2024;1;451;B02;0
2024;1;952;B03;0
2024;1;229;B05;0
2024;1;10889;C01;3
2024;1;1063;C02;3
2024;1;23231;C03;3
2024;1;46862;C07;3
2024;1;32117;C08;3
2024;1;69201;C09;3
2024;1;68003;C10;3
2024;1;1292;D01;0
2024;1;654;D05;0
2024;1;367;D06;0
2024;1;9301;D07;0
2024;1;37;D09;0
2024;1;928;D10;0
2024;1;292;D11;0
2024;1;134;G02;0
2024;1;21825;G03;0
2024;1;23215;G04;0
2024;1;623;H01;0
2024;1;3758;H02;0
2024;1;26173;H03;0
2024;1;32;H04;0
2024;1;165;H05;0
2024;1;30668;J01;0
2024;1;995;J02;0
2024;1;39;J04;0
2024;1;3006;J05;0
2024;1;102;J06;0
2024;1;1493;L01;1
2024;1;2628;L02;1
2024;1;508;L03;1
2024;1;6727;L04;1
2024;1;31128;M01;0
2024;1;428;M02;0
2024;1;4608;M03;0
2024;1;4097;M04;0
2024;1;2232;M05;0
2024;1;70279;N02;7
2024;1;12219;N03;7
2024;1;5337;N04;7
2024;1;54751;N05;7
2024;1;71973;N06;7
2024;1;1309;N07;7
2024;1;2333;P01;0
2024;1;11528;R01;0
2024;1;40977;R03;0
2024;1;9050;R06;0
2024;1;13072;S01;0
2024;1;297;V01;0
2024;1;95;V03;0
2024;2;46866;A02;1
2024;2;1018;A03;1
2024;2;1132;A04;1
2024;2;493;A05;1
2024;2;5399;A06;1
2024;2;5316;A07;1
2024;2;125;A08;1
2024;2;1286;A09;1
2024;2;65160;A10;1
2024;2;465;A11;1
2024;2;18768;A12;1
2024;2;54;A16;1
2024;2;43693;B01;0
2024;2;644;B02;0
2024;2;1460;B03;0
2024;2;261;B05;0
2024;2;15272;C01;4
2024;2;1437;C02;4
2024;2;32603;C03;4
2024;2;66283;C07;4
2024;2;45548;C08;4
2024;2;97537;C09;4
2024;2;98647;C10;4
2024;2;1774;D01;0
2024;2;863;D05;0
2024;2;629;D06;0
2024;2;13009;D07;0
2024;2;54;D09;0
2024;2;1312;D10;0
2024;2;437;D11;0
2024;2;257;G02;0
2024;2;31308;G03;0
2024;2;31831;G04;0
2024;2;1047;H01;0
2024;2;4908;H02;0
2024;2;36525;H03;0
2024;2;57;H04;0
2024;2;238;H05;0
2024;2;35606;J01;0
2024;2;1432;J02;0
2024;2;51;J04;0
2024;2;3563;J05;0
2024;2;170;J06;0
2024;2;2268;L01;1
2024;2;4007;L02;1
2024;2;674;L03;1
2024;2;9663;L04;1
2024;2;42849;M01;0
2024;2;565;M02;0
2024;2;6662;M03;0
2024;2;5540;M04;0
2024;2;3426;M05;0
2024;2;96501;N02;10
2024;2;16582;N03;10
2024;2;7562;N04;10
2024;2;74577;N05;10
2024;2;100409;N06;10
2024;2;1980;N07;10
2024;2;3081;P01;0
2024;2;19238;R01;0
2024;2;51148;R03;0
2024;2;12220;R06;0
2024;2;23260;S01;0
2024;2;258;V01;0
2024;2;158;V03;0
2024;3;45948;A02;1
2024;3;948;A03;1
2024;3;1059;A04;1
2024;3;463;A05;1
2024;3;3876;A06;1
2024;3;5338;A07;1
2024;3;142;A08;1
2024;3;860;A09;1
2024;3;64335;A10;1
2024;3;443;A11;1
2024;3;18235;A12;1
2024;3;40;A16;1
2024;3;40952;B01;0
2024;3;644;B02;0
2024;3;1240;B03;0
2024;3;261;B05;0
2024;3;14659;C01;5
2024;3;1290;C02;5
2024;3;32159;C03;5
2024;3;62217;C07;5
2024;3;42399;C08;5
2024;3;91844;C09;5
2024;3;92335;C10;5
2024;3;1546;D01;2
2024;3;889;D05;2
2024;3;540;D06;2
2024;3;12885;D07;2
2024;3;64;D09;2
2024;3;1261;D10;2
2024;3;515;D11;2
2024;3;250;G02;0
2024;3;28527;G03;0
2024;3;28072;G04;0
2024;3;983;H01;0
2024;3;4477;H02;0
2024;3;35192;H03;0
2024;3;47;H04;0
2024;3;200;H05;0
2024;3;32222;J01;2
2024;3;1316;J02;2
2024;3;55;J04;2
2024;3;3645;J05;2
2024;3;156;J06;2
2024;3;2061;L01;2
2024;3;3658;L02;2
2024;3;635;L03;2
2024;3;9503;L04;2
2024;3;42648;M01;2
2024;3;469;M02;2
2024;3;6809;M03;2
2024;3;5552;M04;2
2024;3;3163;M05;2
2024;3;93474;N02;12
2024;3;16403;N03;12
2024;3;7380;N04;12
2024;3;72479;N05;12
2024;3;98680;N06;12
2024;3;1847;N07;12
2024;3;3101;P01;0
2024;3;17350;R01;2
2024;3;49320;R03;2
2024;3;12318;R06;2
2024;3;20372;S01;1
2024;3;279;V01;0
2024;3;142;V03;0
2024;4;45341;A02;1
2024;4;903;A03;1
2024;4;1139;A04;1
2024;4;467;A05;1
2024;4;5999;A06;1
2024;4;5080;A07;1
2024;4;136;A08;1
2024;4;881;A09;1
2024;4;64813;A10;1
2024;4;458;A11;1
2024;4;18252;A12;1
2024;4;53;A16;1
2024;4;41612;B01;0
2024;4;647;B02;0
2024;4;1343;B03;0
2024;4;243;B05;0
2024;4;14797;C01;7
2024;4;1522;C02;7
2024;4;31991;C03;7
2024;4;62845;C07;7
2024;4;42685;C08;7
2024;4;92447;C09;7
2024;4;92969;C10;7
2024;4;1383;D01;2
2024;4;766;D05;2
2024;4;570;D06;2
2024;4;12014;D07;2
2024;4;46;D09;2
2024;4;1322;D10;2
2024;4;482;D11;2
2024;4;236;G02;2
2024;4;27661;G03;2
2024;4;29024;G04;2
2024;4;951;H01;0
2024;4;4363;H02;0
2024;4;34850;H03;0
2024;4;66;H04;0
2024;4;249;H05;0
2024;4;32778;J01;2
2024;4;1371;J02;2
2024;4;54;J04;2
2024;4;3538;J05;2
2024;4;158;J06;2
2024;4;2117;L01;3
2024;4;3648;L02;3
2024;4;688;L03;3
2024;4;9437;L04;3
2024;4;42115;M01;2
2024;4;471;M02;2
2024;4;6757;M03;2
2024;4;5433;M04;2
2024;4;2958;M05;2
2024;4;93567;N02;14
2024;4;16387;N03;14
2024;4;7214;N04;14
2024;4;70717;N05;14
2024;4;97252;N06;14
2024;4;1838;N07;14
2024;4;3048;P01;0
2024;4;16049;R01;2
2024;4;47119;R03;2
2024;4;12137;R06;2
2024;4;20330;S01;1
2024;4;265;V01;0
2024;4;150;V03;0
2024;5;47371;A02;2
2024;5;1003;A03;2
2024;5;1174;A04;2
2024;5;431;A05;2
2024;5;5941;A06;2
2024;5;5527;A07;2
2024;5;164;A08;2
2024;5;880;A09;2
2024;5;68540;A10;2
2024;5;477;A11;2
2024;5;18723;A12;2
2024;5;38;A16;2
2024;5;43783;B01;0
2024;5;687;B02;0
2024;5;1367;B03;0
2024;5;280;B05;0
2024;5;15324;C01;8
2024;5;1523;C02;8
2024;5;33041;C03;8
2024;5;65231;C07;8
2024;5;44584;C08;8
2024;5;96165;C09;8
2024;5;99137;C10;8
2024;5;1320;D01;2
2024;5;877;D05;2
2024;5;577;D06;2
2024;5;12435;D07;2
2024;5;53;D09;2
2024;5;1383;D10;2
2024;5;490;D11;2
2024;5;248;G02;4
2024;5;29119;G03;4
2024;5;29445;G04;4
2024;5;976;H01;1
2024;5;4497;H02;1
2024;5;36042;H03;1
2024;5;58;H04;1
2024;5;251;H05;1
2024;5;33235;J01;5
2024;5;1370;J02;5
2024;5;61;J04;5
2024;5;3749;J05;5
2024;5;190;J06;5
2024;5;2262;L01;4
2024;5;3825;L02;4
2024;5;690;L03;4
2024;5;10425;L04;4
2024;5;43925;M01;2
2024;5;701;M02;2
2024;5;6961;M03;2
2024;5;5663;M04;2
2024;5;3185;M05;2
2024;5;97665;N02;19
2024;5;16476;N03;19
2024;5;7474;N04;19
2024;5;72598;N05;19
2024;5;98368;N06;19
2024;5;1866;N07;19
2024;5;3232;P01;1
2024;5;15994;R01;2
2024;5;51535;R03;2
2024;5;13583;R06;2
2024;5;21226;S01;2
2024;5;309;V01;0
2024;5;161;V03;0
2024;6;46976;A02;3
2024;6;983;A03;3
2024;6;1118;A04;3
2024;6;490;A05;3
2024;6;5990;A06;3
2024;6;5584;A07;3
2024;6;150;A08;3
2024;6;938;A09;3
2024;6;71046;A10;3
2024;6;478;A11;3
2024;6;18694;A12;3
2024;6;41;A16;3
2024;6;44276;B01;0
2024;6;662;B02;0
2024;6;1398;B03;0
2024;6;258;B05;0
2024;6;15436;C01;11
2024;6;1702;C02;11
2024;6;32443;C03;11
2024;6;64956;C07;11
2024;6;45088;C08;11
2024;6;96374;C09;11
2024;6;98286;C10;11
2024;6;1281;D01;3
2024;6;832;D05;3
2024;6;524;D06;3
2024;6;12383;D07;3
2024;6;63;D09;3
2024;6;1408;D10;3
2024;6;479;D11;3
2024;6;228;G02;6
2024;6;28784;G03;6
2024;6;28352;G04;6
2024;6;1125;H01;1
2024;6;4558;H02;1
2024;6;35405;H03;1
2024;6;58;H04;1
2024;6;253;H05;1
2024;6;33800;J01;7
2024;6;1356;J02;7
2024;6;49;J04;7
2024;6;3629;J05;7
2024;6;171;J06;7
2024;6;2226;L01;8
2024;6;3847;L02;8
2024;6;653;L03;8
2024;6;10755;L04;8
2024;6;42801;M01;3
2024;6;922;M02;3
2024;6;6843;M03;3
2024;6;5662;M04;3
2024;6;3118;M05;3
2024;6;96629;N02;20
2024;6;16969;N03;20
2024;6;7406;N04;20
2024;6;72995;N05;20
2024;6;99196;N06;20
2024;6;1828;N07;20
2024;6;3331;P01;1
2024;6;15594;R01;4
2024;6;50988;R03;4
2024;6;13230;R06;4
2024;6;21248;S01;2
2024;6;311;V01;0
2024;6;140;V03;0
2024;7;48360;A02;3
2024;7;973;A03;3
2024;7;1159;A04;3
2024;7;498;A05;3
2024;7;5798;A06;3
2024;7;5671;A07;3
2024;7;163;A08;3
2024;7;906;A09;3
2024;7;75521;A10;3
2024;7;440;A11;3
2024;7;19649;A12;3
2024;7;34;A16;3
2024;7;44993;B01;0
2024;7;686;B02;0
2024;7;1409;B03;0
2024;7;258;B05;0
2024;7;15674;C01;13
2024;7;1641;C02;13
2024;7;34306;C03;13
2024;7;66446;C07;13
2024;7;45530;C08;13
2024;7;97909;C09;13
2024;7;98671;C10;13
2024;7;1347;D01;3
2024;7;871;D05;3
2024;7;533;D06;3
2024;7;12863;D07;3
2024;7;54;D09;3
2024;7;1343;D10;3
2024;7;545;D11;3
2024;7;261;G02;7
2024;7;29077;G03;7
2024;7;28005;G04;7
2024;7;1025;H01;1
2024;7;4443;H02;1
2024;7;36855;H03;1
2024;7;74;H04;1
2024;7;287;H05;1
2024;7;33574;J01;8
2024;7;1409;J02;8
2024;7;63;J04;8
2024;7;3952;J05;8
2024;7;162;J06;8
2024;7;2212;L01;8
2024;7;3951;L02;8
2024;7;725;L03;8
2024;7;10836;L04;8
2024;7;42608;M01;3
2024;7;830;M02;3
2024;7;6864;M03;3
2024;7;5863;M04;3
2024;7;3296;M05;3
2024;7;98920;N02;24
2024;7;17584;N03;24
2024;7;7688;N04;24
2024;7;74284;N05;24
2024;7;101604;N06;24
2024;7;1801;N07;24
2024;7;3313;P01;1
2024;7;16321;R01;5
2024;7;51307;R03;5
2024;7;13827;R06;5
2024;7;20656;S01;2
2024;7;339;V01;0
2024;7;145;V03;0
2024;8;47895;A02;5
2024;8;1036;A03;5
2024;8;1147;A04;5
2024;8;493;A05;5
2024;8;5897;A06;5
2024;8;5559;A07;5
2024;8;181;A08;5
2024;8;888;A09;5
2024;8;68811;A10;5
2024;8;506;A11;5
2024;8;19099;A12;5
2024;8;61;A16;5
2024;8;44913;B01;1
2024;8;706;B02;1
2024;8;1447;B03;1
2024;8;266;B05;1
2024;8;15350;C01;13
2024;8;1590;C02;13
2024;8;33393;C03;13
2024;8;65871;C07;13
2024;8;45915;C08;13
2024;8;97782;C09;13
2024;8;98902;C10;13
2024;8;1317;D01;3
2024;8;824;D05;3
2024;8;520;D06;3
2024;8;12562;D07;3
2024;8;59;D09;3
2024;8;1365;D10;3
2024;8;493;D11;3
2024;8;244;G02;7
2024;8;29507;G03;7
2024;8;27728;G04;7
2024;8;1044;H01;3
2024;8;4418;H02;3
2024;8;36300;H03;3
2024;8;57;H04;3
2024;8;269;H05;3
2024;8;33343;J01;8
2024;8;1391;J02;8
2024;8;48;J04;8
2024;8;3736;J05;8
2024;8;170;J06;8
2024;8;2208;L01;11
2024;8;3944;L02;11
2024;8;699;L03;11
2024;8;11195;L04;11
2024;8;43478;M01;5
2024;8;903;M02;5
2024;8;6942;M03;5
2024;8;5682;M04;5
2024;8;3294;M05;5
2024;8;98483;N02;26
2024;8;17356;N03;26
2024;8;7513;N04;26
2024;8;73287;N05;26
2024;8;101604;N06;26
2024;8;1795;N07;26
2024;8;3273;P01;1
2024;8;18995;R01;6
2024;8;51401;R03;6
2024;8;14671;R06;6
2024;8;20760;S01;2
2024;8;317;V01;0
2024;8;154;V03;0
2024;9;48947;A02;5
2024;9;1078;A03;5
2024;9;1136;A04;5
2024;9;510;A05;5
2024;9;5841;A06;5
2024;9;6065;A07;5
2024;9;169;A08;5
2024;9;868;A09;5
2024;9;72545;A10;5
2024;9;478;A11;5
2024;9;19504;A12;5
2024;9;36;A16;5
2024;9;46791;B01;2
2024;9;778;B02;2
2024;9;1496;B03;2
2024;9;241;B05;2
2024;9;16784;C01;14
2024;9;1585;C02;14
2024;9;33954;C03;14
2024;9;67332;C07;14
2024;9;46255;C08;14
2024;9;99758;C09;14
2024;9;100766;C10;14
2024;9;1531;D01;3
2024;9;886;D05;3
2024;9;698;D06;3
2024;9;13102;D07;3
2024;9;45;D09;3
2024;9;1271;D10;3
2024;9;493;D11;3
2024;9;255;G02;9
2024;9;30182;G03;9
2024;9;28243;G04;9
2024;9;1063;H01;4
2024;9;4481;H02;4
2024;9;36905;H03;4
2024;9;59;H04;4
2024;9;271;H05;4
2024;9;32614;J01;9
2024;9;1384;J02;9
2024;9;58;J04;9
2024;9;3825;J05;9
2024;9;186;J06;9
2024;9;2249;L01;11
2024;9;4018;L02;11
2024;9;724;L03;11
2024;9;11844;L04;11
2024;9;43833;M01;5
2024;9;829;M02;5
2024;9;7108;M03;5
2024;9;5947;M04;5
2024;9;3350;M05;5
2024;9;100405;N02;30
2024;9;17284;N03;30
2024;9;7700;N04;30
2024;9;73952;N05;30
2024;9;101881;N06;30
2024;9;1858;N07;30
2024;9;3329;P01;1
2024;9;18990;R01;7
2024;9;53619;R03;7
2024;9;17182;R06;7
2024;9;21844;S01;2
2024;9;323;V01;0
2024;9;142;V03;0
2024;10;48685;A02;5
2024;10;971;A03;5
2024;10;1176;A04;5
2024;10;560;A05;5
2024;10;5265;A06;5
2024;10;6172;A07;5
2024;10;178;A08;5
2024;10;910;A09;5
2024;10;75043;A10;5
2024;10;518;A11;5
2024;10;19615;A12;5
2024;10;43;A16;5
2024;10;48870;B01;3
2024;10;696;B02;3
2024;10;1521;B03;3
2024;10;251;B05;3
2024;10;16527;C01;16
2024;10;1630;C02;16
2024;10;33654;C03;16
2024;10;68467;C07;16
2024;10;47933;C08;16
2024;10;103252;C09;16
2024;10;103136;C10;16
2024;10;1316;D01;5
2024;10;863;D05;5
2024;10;727;D06;5
2024;10;13362;D07;5
2024;10;47;D09;5
2024;10;1399;D10;5
2024;10;514;D11;5
2024;10;219;G02;9
2024;10;30774;G03;9
2024;10;30178;G04;9
2024;10;1076;H01;4
2024;10;4477;H02;4
2024;10;36644;H03;4
2024;10;58;H04;4
2024;10;288;H05;4
2024;10;32133;J01;9
2024;10;1382;J02;9
2024;10;65;J04;9
2024;10;3854;J05;9
2024;10;164;J06;9
2024;10;2284;L01;12
2024;10;4108;L02;12
2024;10;742;L03;12
2024;10;12763;L04;12
2024;10;43294;M01;5
2024;10;819;M02;5
2024;10;6967;M03;5
2024;10;6016;M04;5
2024;10;3593;M05;5
2024;10;100869;N02;35
2024;10;17495;N03;35
2024;10;7656;N04;35
2024;10;73717;N05;35
2024;10;102617;N06;35
2024;10;1828;N07;35
2024;10;3318;P01;1
2024;10;20227;R01;7
2024;10;54870;R03;7
2024;10;20440;R06;7
2024;10;21743;S01;2
2024;10;360;V01;0
2024;10;167;V03;0
2024;11;49617;A02;5
2024;11;975;A03;5
2024;11;1184;A04;5
2024;11;562;A05;5
2024;11;4053;A06;5
2024;11;6121;A07;5
2024;11;199;A08;5
2024;11;867;A09;5
2024;11;85090;A10;5
2024;11;511;A11;5
2024;11;19703;A12;5
2024;11;38;A16;5
2024;11;49883;B01;3
2024;11;622;B02;3
2024;11;1487;B03;3
2024;11;266;B05;3
2024;11;16016;C01;18
2024;11;1520;C02;18
2024;11;34942;C03;18
2024;11;68941;C07;18
2024;11;47432;C08;18
2024;11;102819;C09;18
2024;11;102864;C10;18
2024;11;1472;D01;8
2024;11;850;D05;8
2024;11;701;D06;8
2024;11;13252;D07;8
2024;11;44;D09;8
2024;11;1339;D10;8
2024;11;591;D11;8
2024;11;261;G02;9
2024;11;30657;G03;9
2024;11;31252;G04;9
2024;11;1077;H01;4
2024;11;4401;H02;4
2024;11;37467;H03;4
2024;11;65;H04;4
2024;11;299;H05;4
2024;11;31843;J01;9
2024;11;1444;J02;9
2024;11;59;J04;9
2024;11;3945;J05;9
2024;11;173;J06;9
2024;11;2219;L01;12
2024;11;4187;L02;12
2024;11;676;L03;12
2024;11;13081;L04;12
2024;11;43649;M01;5
2024;11;812;M02;5
2024;11;7050;M03;5
2024;11;6073;M04;5
2024;11;3531;M05;5
2024;11;101906;N02;36
2024;11;18224;N03;36
2024;11;7737;N04;36
2024;11;75379;N05;36
2024;11;104245;N06;36
2024;11;1773;N07;36
2024;11;3334;P01;1
2024;11;20914;R01;7
2024;11;54176;R03;7
2024;11;22939;R06;7
2024;11;21930;S01;3
2024;11;399;V01;0
2024;11;151;V03;0
2024;12;49106;A02;6
2024;12;983;A03;6
2024;12;1238;A04;6
2024;12;539;A05;6
2024;12;5995;A06;6
2024;12;6245;A07;6
2024;12;179;A08;6
2024;12;940;A09;6
2024;12;78047;A10;6
2024;12;490;A11;6
2024;12;19626;A12;6
2024;12;52;A16;6
2024;12;49747;B01;3
2024;12;530;B02;3
2024;12;1409;B03;3
2024;12;256;B05;3
2024;12;15807;C01;20
2024;12;1562;C02;20
2024;12;34436;C03;20
2024;12;68500;C07;20
2024;12;46977;C08;20
2024;12;100722;C09;20
2024;12;101833;C10;20
2024;12;1372;D01;8
2024;12;829;D05;8
2024;12;656;D06;8
2024;12;12958;D07;8
2024;12;63;D09;8
2024;12;1453;D10;8
2024;12;525;D11;8
2024;12;259;G02;10
2024;12;30410;G03;10
2024;12;31139;G04;10
2024;12;1049;H01;4
2024;12;4496;H02;4
2024;12;36863;H03;4
2024;12;61;H04;4
2024;12;285;H05;4
2024;12;31864;J01;11
2024;12;1507;J02;11
2024;12;64;J04;11
2024;12;3801;J05;11
2024;12;185;J06;11
2024;12;2275;L01;12
2024;12;3855;L02;12
2024;12;679;L03;12
2024;12;13008;L04;12
2024;12;43523;M01;6
2024;12;741;M02;6
2024;12;6956;M03;6
2024;12;5977;M04;6
2024;12;3342;M05;6
2024;12;101803;N02;44
2024;12;17416;N03;44
2024;12;7725;N04;44
2024;12;74105;N05;44
2024;12;103876;N06;44
2024;12;1944;N07;44
2024;12;3363;P01;1
2024;12;19751;R01;8
2024;12;53252;R03;8
2024;12;21857;R06;8
2024;12;21861;S01;3
2024;12;386;V01;0
2024;12;138;V03;0
2024;13;45152;A02;9
2024;13;897;A03;9
2024;13;1022;A04;9
2024;13;515;A05;9
2024;13;5408;A06;9
2024;13;5982;A07;9
2024;13;201;A08;9
2024;13;841;A09;9
2024;13;69242;A10;9
2024;13;444;A11;9
2024;13;17852;A12;9
2024;13;45;A16;9
2024;13;46106;B01;3
2024;13;623;B02;3
2024;13;1200;B03;3
2024;13;304;B05;3
2024;13;14783;C01;22
2024;13;1487;C02;22
2024;13;31920;C03;22
2024;13;62557;C07;22
2024;13;43124;C08;22
2024;13;92658;C09;22
2024;13;91727;C10;22
2024;13;1253;D01;8
2024;13;804;D05;8
2024;13;594;D06;8
2024;13;11822;D07;8
2024;13;39;D09;8
2024;13;1306;D10;8
2024;13;481;D11;8
2024;13;231;G02;11
2024;13;26651;G03;11
2024;13;28360;G04;11
2024;13;1103;H01;6
2024;13;4056;H02;6
2024;13;34470;H03;6
2024;13;62;H04;6
2024;13;232;H05;6
2024;13;29475;J01;11
2024;13;1253;J02;11
2024;13;41;J04;11
2024;13;3727;J05;11
2024;13;162;J06;11
2024;13;2153;L01;14
2024;13;3584;L02;14
2024;13;616;L03;14
2024;13;12267;L04;14
2024;13;39241;M01;6
2024;13;728;M02;6
2024;13;6486;M03;6
2024;13;5504;M04;6
2024;13;3060;M05;6
2024;13;94111;N02;50
2024;13;16392;N03;50
2024;13;7069;N04;50
2024;13;69425;N05;50
2024;13;96456;N06;50
2024;13;1742;N07;50
2024;13;3072;P01;1
2024;13;19384;R01;10
2024;13;50842;R03;10
2024;13;23999;R06;10
2024;13;20125;S01;4
2024;13;373;V01;0
2024;13;157;V03;0
2024;14;45288;A02;16
2024;14;929;A03;16
2024;14;1070;A04;16
2024;14;601;A05;16
2024;14;5586;A06;16
2024;14;6203;A07;16
2024;14;205;A08;16
2024;14;930;A09;16
2024;14;75248;A10;16
2024;14;503;A11;16
2024;14;17555;A12;16
2024;14;35;A16;16
2024;14;47774;B01;6
2024;14;739;B02;6
2024;14;1417;B03;6
2024;14;223;B05;6
2024;14;14530;C01;33
2024;14;1636;C02;33
2024;14;29913;C03;33
2024;14;64698;C07;33
2024;14;44853;C08;33
2024;14;98384;C09;33
2024;14;98352;C10;33
2024;14;1276;D01;10
2024;14;922;D05;10
2024;14;640;D06;10
2024;14;12025;D07;10
2024;14;50;D09;10
2024;14;1248;D10;10
2024;14;526;D11;10
2024;14;224;G02;15
2024;14;30676;G03;15
2024;14;29499;G04;15
2024;14;1087;H01;6
2024;14;4107;H02;6
2024;14;34093;H03;6
2024;14;51;H04;6
2024;14;297;H05;6
2024;14;27942;J01;12
2024;14;1267;J02;12
2024;14;56;J04;12
2024;14;3792;J05;12
2024;14;177;J06;12
2024;14;2233;L01;20
2024;14;3729;L02;20
2024;14;732;L03;20
2024;14;13220;L04;20
2024;14;40781;M01;9
2024;14;384;M02;9
2024;14;6537;M03;9
2024;14;5576;M04;9
2024;14;3321;M05;9
2024;14;94095;N02;66
2024;14;15902;N03;66
2024;14;6894;N04;66
