VUOSI;VIIKKO;VAR_N_OSTOT;ATC_KOODI;SHORTAGE
2024;1;103169;A;0
2024;1;34065;B;0
2024;1;251366;C;3
2024;1;12871;D;0
2024;1;45174;G;0
2024;1;30751;H;0
2024;1;34810;J;0
2024;1;11356;L;1
2024;1;42499;M;0
2024;1;215870;N;7
2024;1;2333;P;0
2024;1;61574;R;0
2024;1;13072;S;0
2024;1;392;V;0
2024;2;146082;A;1
2024;2;46072;B;0
2024;2;357327;C;4
2024;2;18078;D;0
2024;2;63396;G;0
2024;2;42775;H;0
2024;2;40822;J;0
2024;2;16612;L;1
2024;2;59050;M;0
2024;2;297614;N;10
2024;2;3081;P;0
2024;2;82632;R;0
2024;2;23260;S;0
2024;2;417;V;0
2024;3;141687;A;1
2024;3;43117;B;0
2024;3;336903;C;5
2024;3;17700;D;2
2024;3;56849;G;0
2024;3;40899;H;0
2024;3;37394;J;2
2024;3;15857;L;2
2024;3;58647;M;2
2024;3;290264;N;12
2024;3;3101;P;0
2024;3;79009;R;2
2024;3;20372;S;1
2024;3;423;V;0
2024;4;143522;A;1
2024;4;43860;B;0
2024;4;339256;C;7
2024;4;16583;D;2
2024;4;56921;G;2
2024;4;40479;H;0
2024;4;37899;J;2
2024;4;15890;L;3
2024;4;57747;M;2
2024;4;286977;N;14
2024;4;3048;P;0
2024;4;75330;R;2
2024;4;20330;S;1
2024;4;417;V;0
2024;5;150269;A;2
2024;5;46129;B;0
2024;5;355005;C;8
2024;5;17135;D;2
2024;5;58812;G;4
2024;5;41824;H;1
2024;5;38605;J;5
2024;5;17202;L;4
2024;5;60442;M;2
2024;5;294447;N;19
2024;5;3232;P;1
2024;5;81131;R;2
2024;5;21226;S;2
2024;5;471;V;0
2024;6;152488;A;3
2024;6;46612;B;0
2024;6;354285;C;11
2024;6;16970;D;3
2024;6;57364;G;6
2024;6;41399;H;1
2024;6;39005;J;7
2024;6;17481;L;8
2024;6;59357;M;3
2024;6;295026;N;20
2024;6;3331;P;1
2024;6;79848;R;4
2024;6;21248;S;2
2024;6;454;V;0
2024;7;159172;A;3
2024;7;47365;B;0
2024;7;360177;C;13
2024;7;17556;D;3
2024;7;57343;G;7
2024;7;42684;H;1
2024;7;39160;J;8
2024;7;17724;L;8
2024;7;59467;M;3
2024;7;301883;N;24
2024;7;3313;P;1
2024;7;81488;R;5
2024;7;20656;S;2
2024;7;486;V;0
2024;8;151573;A;5
2024;8;47345;B;1
2024;8;358803;C;13
2024;8;17140;D;3
2024;8;57479;G;7
2024;8;42088;H;3
2024;8;38688;J;8
2024;8;18046;L;11
2024;8;60310;M;5
2024;8;300038;N;26
2024;8;3273;P;1
2024;8;85078;R;6
2024;8;20760;S;2
